	track	rate_downloads_total	rate_listened_total	playlisted	favorited	likes	dislikes	avgnote	notes
1859	track_0205388	894	2744	73	48	1	0	0.0	0
7141	track_1198187	1525	2742	11	3	0	0	4.0	1
2969	track_0402316	1037	2740	9	3	0	0	0.0	0
8012	track_1289274	1292	2740	3	1	0	0	0.0	0
6757	track_1165632	3628	2731	2	1	0	0	0.0	0
1213	track_0123437	676	2730	64	36	0	0	0.0	0
9406	track_1391337	1305	2730	18	4	0	0	3.0	2
6809	track_1168169	12243	2728	4	2	0	0	0.0	1
5260	track_1063872	1479	2728	11	2	0	0	6.0	1
2699	track_0347320	1032	2727	91	55	0	0	0.0	0
2527	track_0337818	672	2726	65	39	0	0	0.0	0
5103	track_1056072	453	2725	2	0	1	1	0.0	0
5802	track_1108281	1028	2721	6	2	0	0	0.0	0
1398	track_0138037	696	2720	26	12	0	0	0.0	0
4546	track_0965790	423	2719	1	0	0	0	0.0	0
7678	track_1266299	1038	2717	4	2	0	0	2.6667	3
6967	track_1179050	376	2716	0	0	0	0	0.0	0
8868	track_1352911	1470	2710	7	3	0	0	3.0	1
1633	track_0180517	1013	2709	45	29	0	0	4.0	1
666	track_0037378	515	2709	65	36	0	0	0.0	0
5825	track_1113033	368	2706	11	2	0	0	6.0	1
1192	track_0118077	627	2704	68	38	0	0	0.0	0
7538	track_1241780	1536	2701	10	3	0	0	0.0	0
1421	track_0134150	817	2699	60	34	0	0	0.0	0
4067	track_0828881	964	2699	18	10	0	0	6.0	1
7861	track_1277827	2584	2692	2	0	0	0	0.0	0
8900	track_1353554	1219	2691	14	9	0	0	3.0	1
4094	track_0844825	645	2691	8	3	0	0	0.0	0
9803	track_1418016	716	2685	26	17	0	0	8.0	1
6254	track_1135423	1457	2685	8	2	1	0	4.0	1
2329	track_0301834	500	2683	46	24	0	0	0.0	0
8700	track_1347947	701	2682	16	8	0	0	10.0	1
4073	track_0822293	1091	2680	12	8	0	0	0.0	0
6873	track_1169143	4075	2679	5	3	1	0	0.0	0
1180	track_0111955	212	2679	47	32	0	0	0.0	0
5772	track_1098826	1589	2675	1	0	0	0	10.0	1
1576	track_0172816	444	2675	62	35	0	0	0.0	0
7938	track_1282103	3467	2675	4	2	0	0	0.0	0
3742	track_0712240	357	2674	13	3	1	0	0.0	0
1456	track_0146606	523	2674	23	9	0	0	0.0	0
9021	track_1358433	701	2670	11	3	0	0	0.0	0
1908	track_0218693	1370	2670	45	28	0	0	0.0	0
5624	track_1090042	5332	2670	6	2	0	0	10.0	1
5907	track_1113988	1053	2669	8	4	0	0	0.0	0
3129	track_0429031	669	2668	16	5	0	0	0.0	0
1650	track_0182483	399	2668	19	12	0	0	0.0	0
3141	track_0429006	1203	2666	16	6	0	0	0.0	0
5376	track_1068982	864	2665	2	1	0	1	0.0	0
5957	track_1116894	173	2665	0	0	0	0	0.0	0
7103	track_1194590	656	2665	10	8	2	0	0.0	0
6786	track_1166619	1639	2662	2	1	1	0	2.6667	3
7391	track_1222641	1612	2660	1	1	0	0	0.0	0
5203	track_1060602	362	2660	5	2	0	0	0.0	0
2568	track_0339579	1503	2659	3	1	0	0	0.0	0
2327	track_0305167	941	2656	104	64	0	0	0.0	0
4690	track_0986804	5201	2656	13	5	0	0	0.0	0
383	track_0022876	373	2655	27	17	0	0	0.0	0
2475	track_0321964	1066	2652	14	9	0	0	0.0	0
6589	track_1159366	518	2652	58	50	0	0	2.0	3
5179	track_1060323	1132	2650	10	4	1	0	6.0	1
6943	track_1176230	451	2649	3	0	0	0	0.0	0
8808	track_1350852	736	2649	14	2	0	0	5.0	2
8084	track_1298248	1122	2648	7	3	0	0	0.0	0
9714	track_1409342	3611	2647	11	2	0	0	0.0	0
6907	track_1173527	2020	2646	4	1	0	0	0.0	0
384	track_0020744	497	2646	53	34	0	0	4.0	1
7618	track_1252010	883	2646	3	0	0	0	0.0	0
5788	track_1101582	474	2645	14	6	0	0	5.5	2
5031	track_1052159	1300	2645	14	8	0	0	6.0	1
8115	track_1298608	1439	2643	4	1	0	0	0.0	0
8400	track_1327029	450	2643	7	5	0	0	6.0	2
4639	track_0986585	496	2642	15	5	0	0	0.0	0
3831	track_0743019	1882	2642	30	14	0	0	0.0	0
2837	track_0366012	731	2642	13	5	0	0	2.0	2
6797	track_1167652	3033	2641	15	4	1	0	0.0	0
7162	track_1198188	470	2639	5	1	0	0	4.0	1
9604	track_1402316	885	2638	13	7	0	0	0.0	0
3287	track_0480409	1009	2634	54	34	0	0	6.0	1
5717	track_1098673	3857	2632	2	0	0	0	0.0	0
3040	track_0409695	1000	2627	4	1	0	0	0.0	0
7495	track_1233771	2864	2627	5	1	0	0	0.0	0
261	track_0017240	257	2623	234	213	0	0	0.0	0
8425	track_1329325	3600	2622	8	2	0	0	3.0	2
8812	track_1350851	1195	2621	16	4	0	0	5.0	2
2412	track_0307877	762	2621	21	12	0	0	0.0	0
6634	track_1161987	5872	2619	3	0	0	0	4.0	1
1499	track_0160067	1536	2617	33	17	0	0	6.0	1
1883	track_0208287	2035	2617	51	28	0	0	6.0	1
6052	track_1124722	462	2615	10	3	0	0	0.0	0
5325	track_1066901	1866	2615	10	3	0	0	8.0	1
6742	track_1166105	1475	2613	4	2	0	0	2.6667	3
9277	track_1381528	247	2613	4	3	0	0	0.0	0
